Instance,k,Best,Avg Runtime
c101,12,1043.38,1.07
c102,11,1027.80,2.02
c103,10,973.63,2.13
c104,10,884.48,2.25
c105,11,1023.52,1.35
c106,11,1009.26,0.98
c107,11,1010.91,0.91
c108,10,1030.48,1.75
c109,10,940.38,2.47
c201,4,629.95,0.42
c202,4,629.95,1.53
c203,4,629.95,3.32
c204,4,628.91,3.27
c205,4,629.95,0.78
c206,4,629.95,0.78
c207,4,629.95,1.21
c208,4,629.95,1.10
r101,18,1618.89,2.69
r102,16,1426.82,4.07
r103,13,1211.99,5.98
r104,11,1051.41,4.15
r105,14,1347.80,3.02
r106,13,1265.18,3.95
r107,12,1108.23,2.50
r108,11,1020.52,3.34
r109,12,1176.69,3.19
r110,11,1068.87,3.77
r111,12,1070.97,4.02
r112,11,1001.79,3.40
r201,3,1255.81,1.48
r202,3,1051.46,2.53
r203,3,895.96,5.24
r204,2,779.49,7.14
r205,3,987.22,2.93
r206,3,922.08,3.52
r207,2,843.20,2.61
r208,2,736.12,3.81
r209,3,863.17,1.92
r210,3,844.86,3.59
r211,2,826.26,2.73
rc101,16,1648.99,2.23
rc102,14,1510.16,1.87
rc103,13,1304.10,3.02
rc104,11,1175.06,2.59
rc105,14,1449.53,2.99
rc106,13,1385.96,1.94
rc107,12,1248.11,3.10
rc108,11,1154.14,2.25
rc201,4,1443.13,1.40
rc202,3,1407.05,3.01
rc203,3,1054.91,5.33
rc204,3,884.75,4.28
rc205,3,1255.84,2.39
rc206,3,1184.61,1.68
rc207,3,992.16,2.24
rc208,3,833.12,2.69
